old_index,zip,locale,city,city_code,lat,lng,dist_to_centre
168, 10016,Gramercy Park and Murray Hill,"New York City, New York, USA",NYC,40.747676849365234,-73.9787826538086,4.535906932939203
169, 10017,Gramercy Park and Murray Hill,"New York City, New York, USA",NYC,40.7562797502276,-73.9747663510769,4.535906932939203
170, 10022,Gramercy Park and Murray Hill,"New York City, New York, USA",NYC,40.7587850002313,-73.97294450109,4.535906932939203
171,10012,Greenwich Village and Soho,"New York City, New York, USA",NYC,40.72415542602539,-74.0011215209961,1.338270804647188
172, 10013,Greenwich Village and Soho,"New York City, New York, USA",NYC,40.72415542602539,-74.0011215209961,1.338270804647188
173, 10014,Greenwich Village and Soho,"New York City, New York, USA",NYC,40.72415542602539,-74.0011215209961,1.338270804647188
174, 10005,Lower Manhattan,"New York City, New York, USA",NYC,40.75325012207031,-74.0038070678711,0.703601153218438
175, 10006,Lower Manhattan,"New York City, New York, USA",NYC,40.707801818847656,-74.01190185546875,0.703601153218438
176, 10007,Lower Manhattan,"New York City, New York, USA",NYC,40.75325012207031,-74.0038070678711,0.703601153218438
177, 10038,Lower Manhattan,"New York City, New York, USA",NYC,40.75325012207031,-74.0038070678711,0.703601153218438
178, 10280,Lower Manhattan,"New York City, New York, USA",NYC,40.75325012207031,-74.0038070678711,0.703601153218438
179,10002,Lower East Side,"New York City, New York, USA",NYC,40.71411895751953,-73.98956298828125,1.494024477134369
180, 10003,Lower East Side,"New York City, New York, USA",NYC,40.71411895751953,-73.98956298828125,1.494024477134369
181, 10009,Lower East Side,"New York City, New York, USA",NYC,40.71411895751953,-73.98956298828125,1.494024477134369
182,10021,Upper East Side,"New York City, New York, USA",NYC,40.77041244506836,-73.96220397949219,7.421559110942085
183, 10028,Upper East Side,"New York City, New York, USA",NYC,40.77041244506836,-73.96220397949219,7.421559110942085
184, 10044,Upper East Side,"New York City, New York, USA",NYC,40.77041244506836,-73.96220397949219,7.421559110942085
185, 10065,Upper East Side,"New York City, New York, USA",NYC,40.77041244506836,-73.96220397949219,7.421559110942085
